calories,total_fat,sodium,vitamin_d,calcium,iron,potassium,protein,carbohydrate,fiber,sugars,water
23,0.9,2348,0,40,1.67,40,2.36,4.89,3.2,0.41,83.85
83,1.1,12,0,21,0.8,193,0.44,19.96,5.3,0,78
357,1.1,7,0,21,1.96,427,14.73,74.9,6.2,2.5,7.76
73,0.3,58,8,18,1.5,285,16.4,0,0,0,81.9
95,0.6,2,0,24,0.23,448,1.72,23.25,1.5,19.08,73.46
277,1.2,3,0,33,1.7,1110,3.8,70.7,4.6,66.1,22.3
274,11,135,0,15,0.42,149,3.3,41.1,2.2,25.75,43.5
884,100,0,0,0,0,0,0,0,0,0,0
75,0.7,7,0,10,0.27,287,1.57,17.71,3,12.87,79.39
340,26,753,0,700,0.23,65,24.41,1.88,0,0,42.86
371,30,560,22,674,0.43,136,23.24,2.79,0,0.51,41.11
299,26,1013,28,21,1.29,351,10.91,4.29,0,2.05,55.31
379,35,680,52,6,6.4,38,14.6,1.29,0,1.29,47.3
579,50,1,0,269,3.71,733,21.15,21.55,12.5,4.35,4.41
376,0.6,10,0,24,1.08,166,12.76,77.43,5,0,8.56
311,3,10,0,204,11.99,1902,41.71,34.71,17.5,0,7.48
